Ratings,Model,Year,Engine HP,Engine Cylinders,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,"Vehicle Style",Sentiment,Compound_Score
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.5719
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.967
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9811
5.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9928
4.625,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9636
4.875,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9527
4.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.802
4.75,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,2,0.9275
2.0,19,2015.0,300.0,6.0,0,4.0,0,2,27.0,18.0,2,0,-0.922
3.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.8991
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9729
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9527
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9382
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9312
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9759
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9983
3.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.977
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,0,-0.3406
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9835
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.994
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.8329
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.882
1.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.2023
3.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9268
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9501
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,1,0.0
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.925
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.4588
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.8555
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9825
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9508
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,1,0.0
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.9992
5.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,2,0.8358
4.0,1,2016.0,240.0,4.0,2,2.0,8,0,35.0,23.0,4,0,-0.9073
5.0,11,2016.0,365.0,6.0,2,2.0,4,0,26.0,18.0,4,2,0.5095
